,model_size,uncertainty,deg_level,det,deg,ei
0,2,1.0,1,-0.0,100000.0,-1.0
1,2,0.99,1,0.12153852365273278,100000.0,-0.8784614763472672
2,2,0.985,1,0.1719545674039591,100000.0,-0.8280454325960409
3,2,0.98,1,0.22001004684541295,100000.0,-0.7799899531545871
4,2,0.975,1,0.26649108277958933,100000.0,-0.7335089172204107
5,2,0.97,1,0.31184983035268715,100000.0,-0.6881501696473129
6,2,0.955,1,0.44372271540943337,100000.0,-0.5562772845905667
7,2,0.945,1,0.5296315252414069,100000.0,-0.4703684747585931
8,2,0.94,1,0.5722756686923108,100000.0,-0.42772433130768917
9,2,0.925,1,0.6997275765376826,100000.0,-0.3002724234623174
10,2,0.92,1,0.7422149776146646,100000.0,-0.2577850223853354
11,2,0.915,1,0.7847724426280442,100000.0,-0.21522755737195573
12,2,0.91,1,0.8274352110102238,100000.0,-0.17256478898977617
13,2,0.905,1,0.8702357425041894,100000.0,-0.12976425749581055
14,2,0.89,1,0.9997575268987882,100000.0,-0.00024247310121183155
15,2,0.88,1,1.087306805968979,100000.0,0.0873068059689789
16,2,0.875,1,1.1315169114520658,100000.0,0.13151691145206584
17,2,0.865,1,1.2209267726198227,100000.0,0.22092677261982266
18,2,0.86,1,1.2661730071531017,100000.0,0.2661730071531016
19,2,0.85,1,1.3578633441515378,100000.0,0.3578633441515373
20,2,0.84,1,1.4513051619806774,100000.0,0.4513051619806774
21,2,0.835,1,1.498741560071097,100000.0,0.4987415600710969
22,2,0.83,1,1.5466869436985713,100000.0,0.5466869436985713
23,2,0.825,1,1.595165898108773,100000.0,0.5951658981087732
24,2,0.8200000000000001,1,1.64420358625396,100000.0,0.6442035862539599
25,2,0.78,1,2.0599009393080627,100000.0,1.0599009393080627
26,2,0.775,1,2.1152400468716968,100000.0,1.1152400468716968
27,2,0.77,1,2.171441877707088,100000.0,1.171441877707088
28,2,0.765,1,2.228544446511898,100000.0,1.228544446511898
29,2,0.745,1,2.466792947886505,100000.0,1.4667929478865052
30,2,0.74,1,2.52904253570165,100000.0,1.5290425357016502
31,2,0.73,1,2.657123402936829,100000.0,1.657123402936829
32,2,0.71,1,2.9292946475731103,100000.0,1.9292946475731103
33,2,0.7050000000000001,1,3.001071301784403,100000.0,2.001071301784403
34,2,0.7,1,3.0744975522289675,100000.0,2.0744975522289675
35,2,0.69,1,3.2266579580736012,100000.0,2.226657958073601
